mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error
,22.29,90.63,588.9,0.12,0.1267,0.1385,0.06526,0.1834,0.06877,0.6191,2.112,4.906,49.7,0.0138,0.03348,,,0.02689,0.004306
18.08,21.84,,,0.07371,0.08642,0.1103,0.05778,0.177,,,,,76.36,,0.05296,0.0611,0.01444,0.0214,
,22.49,127.5,1148,0.08523,0.1428,0.1114,,0.1767,0.05529,0.4357,,3.833,54.22,,0.03698,0.02706,,,0.003397
,,,642.7,0.09872,0.1206,0.118,0.0598,0.195,,,0.6509,,19.42,0.004044,0.01597,0.02,0.007303,,0.001976
,,78.54,,0.09586,0.08087,0.04187,0.04107,0.1979,,,1.326,2.308,,0.007514,,,,0.01503,0.003338
17.54,19.32,115.1,,0.08968,0.1198,0.1036,0.07488,,0.05491,0.3971,0.8282,,,,0.02569,,,,0.002658
23.29,26.67,158.9,1685,0.1141,0.2084,0.3523,,,,0.5539,,,83.16,0.009327,,,0.02465,0.02175,0.005195
13.81,23.75,91.56,,0.1323,0.1768,0.1558,0.09176,0.2251,0.07421,,1.93,3.909,52.72,,0.03108,,0.01291,,0.004506
12.47,18.6,81.09,481.9,0.09965,0.1058,0.08005,,0.1925,,,1.044,2.497,30.29,0.006953,0.01911,,,0.01782,
15.12,,,716.6,0.08876,0.09588,,0.04079,,0.05986,0.2711,,,,0.005472,,0.02039,,0.01523,
9.876,17.27,62.92,295.4,0.1089,0.07232,0.01756,0.01952,0.1934,0.06285,0.2137,1.342,1.517,12.33,,,0.007975,,,
17.01,20.26,109.7,904.3,0.08772,0.07304,0.0695,0.0539,0.2026,,,0.8554,,68.46,0.005038,0.01503,0.01946,0.01123,0.02294,0.002581
,,,529.4,0.1002,0.1483,,0.05102,0.185,,0.1931,0.9223,1.491,,,0.03041,,0.008304,,0.004198
15.27,12.91,98.17,,,,0.05892,0.03157,,0.05526,0.2134,0.3628,1.525,,0.004291,0.01236,,0.007373,0.009539,
20.58,22.14,134.7,1290,,0.1348,0.164,0.09561,,,,1.48,7.029,111.7,0.008124,0.03611,,,0.03176,0.002365
11.84,18.94,75.51,428,0.08871,0.069,,,0.1533,,0.2222,0.8652,1.444,17.12,0.005517,0.01727,0.02045,0.006747,0.01616,
28.11,18.47,,,,0.1516,0.3201,0.1595,,0.05525,,1.476,21.98,,0.01345,,0.06389,0.01407,0.04783,
,,114.5,948,0.1006,0.1146,0.1682,,0.1308,0.05866,0.5296,1.667,3.767,,0.03113,,,,0.02175,0.01256
14.19,23.81,92.87,610.7,0.09463,0.1306,,0.06462,0.2235,0.06433,,,3.534,31,0.01088,,,0.01627,0.04499,0.004768
13.86,16.93,90.96,578.9,0.1026,0.1517,0.09901,,0.2106,0.06916,,1.194,1.933,22.69,,0.03438,0.03909,0.01435,,0.00456
11.89,18.35,77.32,432.2,,,,0.03142,0.1967,,0.2963,1.563,2.087,21.46,0.008872,,,,0.02793,
,17.48,,321.2,0.08054,,,0.01071,,,0.3567,1.922,,,,,0.05774,0.01071,0.0256,0.004613
19.8,21.56,129.7,1230,0.09383,0.1306,0.1272,0.08691,0.2094,0.05581,0.9553,1.186,6.487,124.4,0.006804,0.03169,,,,
19.53,32.47,128,,0.0842,0.113,,0.06637,0.1428,0.05313,0.7392,1.321,,109.9,0.005539,0.02644,,0.01078,,
13.65,13.16,,568.9,,,0.03888,0.02563,0.136,0.06344,,,,17.4,,,0.01652,,0.01371,0.002735
13.56,,88.59,,0.1051,,0.0786,0.04451,,0.06303,0.2569,,,,,,0.02544,,0.01842,
10.18,17.53,,313.1,,0.08502,,,0.191,,,,1.641,15.05,,,0.008534,0.007624,0.02637,
,20.25,,761.3,0.1025,0.1204,0.1147,0.06462,,0.06303,,0.9209,,32.19,0.004766,0.02374,0.02384,0.008637,0.01772,0.003131
13.27,,84.55,,,0.04994,,,0.1496,,0.2927,0.8907,2.044,24.68,,,0.02259,,0.01482,0.002496
14.34,,,,0.09906,0.07624,0.05724,0.04603,,0.05448,0.522,0.8121,,48.29,0.007089,,0.0236,0.01286,0.02266,0.001463
10.44,,66.62,,0.1053,,0.006643,,0.1788,,0.1913,0.9027,,11.86,,0.008061,0.002817,,,
,15.51,97.45,684.5,0.08371,,0.06505,,0.1881,0.05907,,0.4966,2.276,,0.004119,0.03207,0.03644,0.01155,0.01391,0.003204
12.62,23.97,81.35,496.4,0.07903,0.07529,0.05438,,0.1514,,0.2449,,1.445,18.51,0.005169,0.02294,0.03016,,0.01365,0.003407
12.83,22.33,85.26,503.2,0.1088,0.1799,0.1695,0.06861,0.2123,,0.3061,1.069,,25.13,0.006983,0.03858,0.04683,,0.0168,0.005617
17.05,19.08,113.4,895,0.1141,,0.191,,,0.06325,,,2.153,,,,0.03055,0.01384,0.01177,0.002336
11.32,27.08,71.76,395.7,,0.03813,0.01633,,0.1869,0.05628,0.121,,1.059,,0.003653,0.01647,0.01633,0.003125,0.01537,0.002052
,33.81,70.79,386.8,0.0778,0.03574,0.004967,0.006434,0.1845,,0.2239,1.647,1.489,,,0.006813,0.003223,0.003419,,0.002534
,27.81,134.4,,0.09159,0.1074,0.1554,0.0834,0.1448,0.05592,,1.189,3.767,70.01,0.00502,0.02062,0.03457,0.01091,0.01298,0.002887
9.567,15.91,60.21,279.6,0.08464,,0.01652,,,0.06403,0.2152,,1.215,12.64,0.01164,0.0104,,,0.02383,0.00354
,21.25,89.79,603.4,0.0907,0.06945,0.01462,0.01896,,0.05835,0.2589,1.503,1.667,22.07,0.007389,,0.007302,0.01004,0.01263,
,26.97,153.5,1670,0.09509,,0.195,0.1237,0.1909,,1.058,0.9635,7.247,155.8,0.006428,,0.04497,0.01716,0.0159,
20.48,21.46,132.5,,,0.08348,,0.06022,,,0.6874,1.041,5.144,83.5,0.007959,0.03133,0.04257,0.01671,0.01341,
,27.85,92.55,623.9,0.08223,0.1039,0.1103,,0.1342,0.06129,0.3354,2.324,2.105,29.96,,0.02845,0.0385,0.01011,0.01185,
,,113.4,920.6,,0.1298,0.1417,0.08811,0.1809,0.05966,0.5366,0.8561,3.002,49,0.00486,,0.02602,0.01374,0.01226,0.002759
13.64,15.6,87.38,,0.09423,0.0663,0.04705,0.03731,0.1717,0.0566,0.3242,0.6612,1.996,,,0.01248,,0.01103,,0.001794
12.42,,78.61,,,0.03393,0.01053,,0.1546,,0.1153,0.6745,0.757,9.006,0.003265,,,0.003762,,0.00136
11.3,18.19,73.93,389.4,0.09592,0.1325,,0.02854,0.2054,,,1.642,2.369,16.39,,0.05914,,0.01314,0.01995,0.008675
13.75,,88.54,590,0.08043,0.06807,0.04697,,,0.05429,,,,39.93,0.004351,0.02667,0.03371,0.01007,0.02598,
,,129.1,1155,0.1027,,0.2049,,0.1978,,0.5243,,4.037,60.41,,0.03252,0.03915,,0.02186,
10.48,19.86,,337.7,,0.05971,,0.0307,,,0.3719,2.612,,,0.01604,0.01386,0.01865,0.01133,0.03476,0.00356
,17.43,84.13,541.6,0.07215,,0.04336,0.01105,0.1487,,0.163,1.601,0.873,13.56,0.006261,,0.03079,0.005383,0.01962,0.00225
12.89,14.11,84.95,512.2,0.0876,,,0.0398,0.1596,0.06409,0.2025,0.4402,,16.35,,,0.08158,0.0137,0.01266,0.007555
10.65,,,,,,0.02379,,0.1897,0.06329,,1.493,1.497,16.64,,0.01035,0.01081,,0.02158,0.002619
